"ID","Organism.Name","Strain","BioSample","BioProject","Assembly","GenBank.FTP"
389,"Bacillus pumilus INR7","INR7","SAMN02414600 ","PRJNA227786","GCA_000508145.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/145/GCA_000508145.1_INR7_01"
390,"Bacillus amyloliquefaciens LFB112","LFB112","SAMN02641487 ","PRJNA225659","GCA_000508265.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/265/GCA_000508265.1_ASM50826v1"
391,"Bacillus vireti LMG 21834","LMG 21834","SAMN02471784 ","PRJNA80825","GCA_000508325.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/325/GCA_000508325.2_BAVI_1"
392,"Bacillus anthracis str. A16R","A16R","SAMN02641484 ","PRJNA40353","GCA_000512775.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/775/GCA_000512775.1_ASM51277v1"
393,"Bacillus anthracis str. A16","A16","SAMN02641483 ","PRJNA40303","GCA_000512835.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/835/GCA_000512835.2_ASM51283v2"
397,"Bacillus weihenstephanensis NBRC 101238 = DSM 11821","NBRC 101238","SAMD00041791 ","PRJDB404","GCA_000513155.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/155/GCA_000513155.1_ASM51315v1"
398,"Bacillus velezensis SK19.001","SK19.001","SAMN02597424 ","PRJNA186403","GCA_000513755.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/755/GCA_000513755.1_SOAPdenovo"
399,"Bacillus sp. 278922_107","278922_107","SAMN02597213 ","PRJNA188915","GCA_000514135.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/514/135/GCA_000514135.1_ASM51413v1"
400,"Bacillus sp. 171095_106","171095_106","SAMN02597215 ","PRJNA187092","GCA_000514175.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/514/175/GCA_000514175.1_ASM51417v1"
402,"Bacillus weihenstephanensis FSL H7-687","FSL H7-687","SAMN02597353 ","PRJNA173844","GCA_000517985.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/517/985/GCA_000517985.1_ASM51798v1"
403,"Bacillus weihenstephanensis FSL R5-860","FSL R5-860","SAMN02597354 ","PRJNA173846","GCA_000518025.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/518/025/GCA_000518025.1_ASM51802v1"
404,"Bacillus sp. J37","J37","SAMN02584959 ","PRJNA202365","GCA_000518865.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/518/865/GCA_000518865.1_ASM51886v1"
405,"Bacillus sp. J33","J33","SAMN02584958 ","PRJNA202364","GCA_000518885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/518/885/GCA_000518885.1_ASM51888v1"
407,"Bacillus subtilis B7-s","B7-s","SAMN02597362 ","PRJNA230659","GCA_000520915.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/915/GCA_000520915.1_denovo"
408,"Bacillus anthracis str. V770-NP1-R","V770-NP1-R","SAMN02597374 ","PRJNA231233","GCA_000521345.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/345/GCA_000521345.1_BA_V770-NP1-R"
409,"Bacillus subtilis BEST7003","BEST7003","SAMD00061007 ","PRJDB111","GCA_000523045.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/523/045/GCA_000523045.1_ASM52304v1"
411,"Bacillus flexus 27Col1.1E","27Col1.1E","SAMN02597188 ","PRJNA188836","GCA_000527015.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/527/015/GCA_000527015.1_ASM52701v1"
412,"Bacillus thuringiensis DB27","DB27","SAMEA3138883 ","PRJEB5006","GCA_000530375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/530/375/GCA_000530375.1_BTDB27_001"
413,"Bacillus anthracis CZC5","CZC5","SAMD00002586 ","PRJDB1571","GCA_000534935.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/534/935/GCA_000534935.1_ASM53493v1"
414,"Bacillus anthracis 8903-G","8903-G","SAMN02951868 ","PRJNA224562","GCA_000558965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/558/965/GCA_000558965.1_Ba8903G_1.0"
415,"Bacillus anthracis 9080-G","9080-G","SAMN02951869 ","PRJNA224558","GCA_000558985.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/558/985/GCA_000558985.1_Ba9080G_1.0"
416,"Bacillus anthracis 52-G","52-G","SAMN02951870 ","PRJNA224563","GCA_000559005.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/559/005/GCA_000559005.1_Ba52G_1.0"
418,"Bacillus amyloliquefaciens EBL11","EBL11","SAMN02597787 ","PRJNA236534","GCA_000559145.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/559/145/GCA_000559145.1_BacAmy_A3"
419,"Bacillus firmus DS1","DS1","SAMN02952946 ","PRJNA193594","GCA_000565285.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/565/285/GCA_000565285.1_pBF"
420,"Bacillus thuringiensis serovar tolworthi NA205-3","NA205-3","SAMN02952956 ","PRJNA193288","GCA_000571955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/955/GCA_000571955.1_Na205-2_Genome_assembly"
424,"Bacillus subtilis QH-1","QH-1","SAMN02951917 ","PRJNA231890","GCA_000582885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/582/885/GCA_000582885.1_QH-1_V1.0"
425,"Bacillus velezensis TrigoCor1448","TrigoCor1448","SAMN02650943 ","PRJNA234772","GCA_000583065.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/065/GCA_000583065.1_ASM58306v1"
426,"Bacillus anthracis str. SVA11","SVA11","SAMN03081486 ","PRJNA217316","GCA_000583105.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/105/GCA_000583105.1_ASM58310v1"
428,"Bacillus thuringiensis serovar israelensis","4Q7","SAMN02645569 ","PRJNA238495","GCA_000585975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/975/GCA_000585975.1_Bti4Q7_01"
430,"Bacillus pumilus","MTCC B6033","SAMN02677288 ","PRJNA239250","GCA_000590455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/455/GCA_000590455.1_ASM59045v1"
431,"Bacillus thuringiensis","NBIN-866","SAMN02640274 ","PRJNA237997","GCA_000600315.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/315/GCA_000600315.1_Newbler2.5.3"
432,"Bacillus licheniformis F1-1","F1-1","SAMN02437138 ","PRJNA230652","GCA_000603965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/603/965/GCA_000603965.1_Bacillus_licheniformis_strain_F1-1"
433,"Bacillus licheniformis F2-1","F2-1","SAMN02486612 ","PRJNA230654","GCA_000603985.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/603/985/GCA_000603985.1_Bacillus_licheniformis_strain_F2-1"
434,"Bacillus paralicheniformis G-1","G-1","SAMN02385726 ","PRJNA224947","GCA_000604165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/165/GCA_000604165.1_Bacillus_licheniformis_strain_G-1"
435,"Bacillus pumilus","Fairview","SAMN02649963 ","PRJNA238961","GCA_000604385.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/385/GCA_000604385.1_B.pum_Fairview_1.0"
436,"Bacillus flexus T6186-2","T6186-2","SAMN02585215 ","PRJNA233555","GCA_000612165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/612/165/GCA_000612165.1_BacFle1.0"
438,"Bacillus jeddahensis","JCE","SAMEA3138968 ","PRJEB5502","GCA_000612625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/612/625/GCA_000612625.1_JCE"
441,"Bacillus sp. EB01","EB01","SAMEA3138993 ","PRJEB4215","GCA_000613125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/613/125/GCA_000613125.1_EB01T"
444,"Bacillus sp. H1m","H1m","SAMN02729847 ","PRJNA226206","GCA_000633295.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/295/GCA_000633295.1_de_novo"
445,"Bacillus sp. H1a","H1a","SAMN02729850 ","PRJNA226201","GCA_000633475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/475/GCA_000633475.1_de_novo"
446,"Bacillus cereus","A1","SAMN02693464 ","PRJNA242371","GCA_000635895.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/635/895/GCA_000635895.2_ASM63589v2"
447,"Bacillus velezensis SQR9","SQR9","SAMN03081500 ","PRJNA227504","GCA_000685725.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/725/GCA_000685725.1_ASM68572v1"
448,"Bacillus sp. UNC41MFS5","UNC41MFS5","SAMN02743384 ","PRJNA234930","GCA_000686805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/686/805/GCA_000686805.1_ASM68680v1"
449,"Bacillus cereus","BcFL2013","SAMN02712363 ","PRJNA243069","GCA_000688755.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/755/GCA_000688755.1_CLC_6.0.4_of_Bacillus_cereus_BcFL2013"
450,"Bacillus thuringiensis serovar kurstaki str. YBT-1520","YBT-1520","SAMN02776149 ","PRJNA181183","GCA_000688795.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/795/GCA_000688795.1_ASM68879v1"
451,"Bacillus altitudinis 41KF2b","41KF2b","SAMN02746610 ","PRJNA162773","GCA_000691145.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/145/GCA_000691145.1_ASM69114v1"
452,"Bacillus safensis FO-36b","FO-36b","SAMN02746691 ","PRJNA162775","GCA_000691165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/165/GCA_000691165.1_ASM69116v1"
454,"Bacillus pumilus","7P","SAMN02646548 ","PRJNA243557","GCA_000691485.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/485/GCA_000691485.2_ASM69148v2"
455,"Bacillus licheniformis","3F-3","SAMN02678191 ","PRJNA240625","GCA_000695465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/465/GCA_000695465.1_3F"
457,"Bacillus subtilis","E72","SAMN02799704 ","PRJNA248606","GCA_000696615.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/615/GCA_000696615.1_ASM69661v1"
458,"Bacillus subtilis subsp. subtilis str. 168","168","SAMN02799703 ","PRJNA248606","GCA_000696635.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/635/GCA_000696635.1_ASM69663v1"
459,"Bacillus anthracis","ANSES_08-8_20","SAMN02693047 ","PRJNA242332","GCA_000697515.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/515/GCA_000697515.2_ASM69751v2"
460,"Bacillus anthracis","ANSES_99-100","SAMN02699415 ","PRJNA242332","GCA_000697535.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/535/GCA_000697535.2_ASM69753v2"
461,"Bacillus anthracis","ANSES_00-82","SAMN02699416 ","PRJNA242332","GCA_000697555.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/555/GCA_000697555.2_ASM69755v2"
462,"Bacillus subtilis subsp. subtilis str. JH642 substr. AG174","JH642 substr. AG174","SAMN02800681 ","PRJNA172410","GCA_000699465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/465/GCA_000699465.1_ASM69946v1"
463,"Bacillus subtilis subsp. subtilis str. AG1839","AG1839","SAMN02841094 ","PRJNA172448","GCA_000699525.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/525/GCA_000699525.1_ASM69952v1"
464,"Bacillus sp. UNC125MFCrub1.1","UNC125MFCrub1.1","SAMN02841139 ","PRJNA213759","GCA_000701305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/701/305/GCA_000701305.1_ASM70130v1"
466,"Bacillus subtilis subsp. subtilis str. OH 131.1","OH 131.1","SAMN02673193 ","PRJNA221154","GCA_000706705.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/706/705/GCA_000706705.1_ASM70670v1"
467,"Bacillus lehensis G1","G1","SAMN03081443 ","PRJNA178137","GCA_000706725.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/706/725/GCA_000706725.1_ASM70672v1"
469,"Bacillus indicus LMG 22858","LMG 22858","SAMN02617681 ","PRJNA237198","GCA_000708755.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/755/GCA_000708755.2_ASM70875v2"
471,"Bacillus thuringiensis serovar kurstaki str. HD-1","HD-1","SAMN02641787 ","PRJNA238239","GCA_000710255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/255/GCA_000710255.1_BTK_A5"
472,"Bacillus manliponensis","JCM 15802","SAMN02854473 ","PRJNA252652","GCA_000712595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/595/GCA_000712595.1_ASM71259v1"
473,"Bacillus gaemokensis","JCM 15801","SAMN02854354 ","PRJNA252651","GCA_000712615.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/615/GCA_000712615.1_ASM71261v1"
474,"Bacillus pumilus","19-Mar","SAMN02864245 ","PRJNA252901","GCA_000714495.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/714/495/GCA_000714495.2_ASM71449v2"
475,"Bacillus safensis","CFA06","SAMN02786784 ","PRJNA246604","GCA_000715185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/185/GCA_000715185.1_ASM71518v1"
476,"Bacillus zhangzhouensis","DW5-4","SAMN02870955 ","PRJNA162769","GCA_000715205.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/205/GCA_000715205.1_SOAPdenovo_v1.05"
477,"Bacillus thuringiensis serovar kurstaki str. HD-1","HD-1","SAMN02898393 ","PRJNA181182","GCA_000717535.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/535/GCA_000717535.1_ASM71753v1"
478,"Bacillus vietnamensis","HD-02","SAMEA3139053 ","PRJEB5512","GCA_000723905.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/723/905/GCA_000723905.1_PRJEB5512_assembly_1"
479,"Bacillus subtilis E1","E1","SAMEA3139064 ","PRJEB1410","GCA_000724125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/125/GCA_000724125.1_BSUBE1"
481,"Bacillus cereus","FT9","SAMN02801763 ","PRJNA248730","GCA_000724585.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/585/GCA_000724585.1_ASM72458v1"
482,"Bacillus anthracis","HYU01","SAMN02874036 ","PRJNA231762","GCA_000725325.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/325/GCA_000725325.1_ASM72532v1"
484,"Bacillus anthracis str. Carbosap","Carbosap","SAMN02910129 ","PRJNA231912","GCA_000732465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/465/GCA_000732465.1_ASM73246v1"
485,"Bacillus sp. SJS","SJS","SAMN02593515 ","PRJNA235995","GCA_000732485.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/485/GCA_000732485.2_ASM73248v2"
487,"Bacillus subtilis","GXA-28","SAMN02903909 ","PRJNA254440","GCA_000735115.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/735/115/GCA_000735115.1_ASM73511v1"
488,"Bacillus clausii","ENTPro","SAMN02719561 ","PRJNA242453","GCA_000737305.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/305/GCA_000737305.2_ASM73730v2"
489,"Bacillus subtilis TO-A","TO-A","SAMN02183432 ","PRJNA205982","GCA_000737405.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/405/GCA_000737405.1_ASM73740v1"
491,"Bacillus subtilis subsp. subtilis","NDmed","SAMN02902142 ","PRJNA254215","GCA_000740475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/475/GCA_000740475.1_ASM74047v1"
492,"Bacillus subtilis subsp. subtilis","NDfood","SAMN02902143 ","PRJNA254216","GCA_000740485.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/485/GCA_000740485.1_ASM74048v1"
493,"Bacillus subtilis","NKYL29","SAMN02947774 ","PRJNA255532","GCA_000740715.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/715/GCA_000740715.1_ASM74071v1"
494,"Bacillus anthracis","STI-1","SAMN02839456 ","PRJNA243052","GCA_000740925.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/925/GCA_000740925.2_ASM74092v2"
495,"Bacillus anthracis","Smith 1013","SAMN02732407 ","PRJNA243516","GCA_000742315.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/315/GCA_000742315.1_ASM74231v1"
496,"Bacillus anthracis","2000031021","SAMN02736984 ","PRJNA243523","GCA_000742655.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/655/GCA_000742655.1_ASM74265v1"
497,"Bacillus atrophaeus subsp. globigii","BSS","SAMN02740987 ","PRJNA243596","GCA_000742675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/675/GCA_000742675.1_ASM74267v1"
498,"Bacillus anthracis","delta Sterne","SAMN02736981 ","PRJNA243519","GCA_000742695.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/695/GCA_000742695.1_ASM74269v1"
499,"Bacillus mycoides","219298","SAMN03081542 ","PRJNA243593","GCA_000742855.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/855/GCA_000742855.1_ASM74285v1"
500,"Bacillus anthracis","BFV","SAMN02736972 ","PRJNA243518","GCA_000742875.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/875/GCA_000742875.1_ASM74287v1"
501,"Bacillus anthracis str. Vollum","Vollum","SAMN02736982 ","PRJNA243521","GCA_000742895.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/895/GCA_000742895.1_ASM74289v1"
502,"Bacillus cereus","F1-15","SAMN02739296 ","PRJNA243586","GCA_000743195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/195/GCA_000743195.1_BFW"
503,"Bacillus subtilis subsp. niger","PCI 246","SAMN02741431 ","PRJNA243867","GCA_000743235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/235/GCA_000743235.1_BSV"
504,"Bacillus anthracis","Zimbabwe 89","SAMN02736952 ","PRJNA243517","GCA_000743805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/805/GCA_000743805.1_BDQ"
505,"Bacillus cereus ATCC 10876","ATCC 10876","SAMN02736987 ","PRJNA243525","GCA_000743815.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/815/GCA_000743815.1_BDJ"
506,"Bacillus anthracis","A.Br.003","SAMN02736983 ","PRJNA243524","GCA_000743825.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/825/GCA_000743825.1_BHY_1"
507,"Bacillus cereus","13061","SAMN02736988 ","PRJNA243526","GCA_000743865.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/865/GCA_000743865.1_BDX"
509,"Bacillus sp. UNC69MF","UNC69MF","SAMN02745536 ","PRJNA234898","GCA_000746035.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/035/GCA_000746035.1_ASM74603v1"
511,"Bacillus cereus ATCC 4342","ATCC 4342","SAMN02739295 ","PRJNA243585","GCA_000746865.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/865/GCA_000746865.1_BDY"
512,"Bacillus paralicheniformis","ATCC 12759","SAMN02739298 ","PRJNA243587","GCA_000746885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/885/GCA_000746885.1_BLA"
513,"Bacillus mycoides","BHP","SAMN02739899 ","PRJNA243594","GCA_000746925.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/925/GCA_000746925.1_BHP_1"
514,"Bacillus megaterium","BMS","SAMN02739351 ","PRJNA243590","GCA_000746935.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/935/GCA_000746935.1_BMS"
515,"Bacillus mycoides","Flugge 10206","SAMN02740844 ","PRJNA243595","GCA_000746965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/965/GCA_000746965.1_BHU_1"
516,"Bacillus anthracis","Cvac02","SAMN02898388 ","PRJNA252785","GCA_000747335.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/335/GCA_000747335.1_ASM74733v1"
518,"Bacillus anthracis","Han","SAMN02898318 ","PRJNA252784","GCA_000747375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/375/GCA_000747375.1_ASM74737v1"
519,"Bacillus thuringiensis serovar kurstaki str. YBT-1520","YBT-1520","SAMN02797740 ","PRJNA242813","GCA_000747545.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/545/GCA_000747545.1_ASM74754v1"
521,"Bacillus amyloliquefaciens","CMW1","SAMD00019233 ","PRJDB3066","GCA_000747705.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/705/GCA_000747705.1_ASM74770v1"
522,"Bacillus amyloliquefaciens","X1","SAMN03009691 ","PRJNA259605","GCA_000750045.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/045/GCA_000750045.1_ASM75004v1"
524,"Bacillus aquimaris","","SAMEA2663724 ","PRJEB6484","GCA_000751975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/751/975/GCA_000751975.1_Bacillus_aquimaris"
529,"Bacillus niacini","F8","SAMD00000021 ","PRJDB1658","GCA_000759675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/675/GCA_000759675.1_ASM75967v1"
530,"Bacillus megaterium NBRC 15308 = ATCC 14581","ATCC 14581","SAMN02712415 ","PRJNA236746","GCA_000764085.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/085/GCA_000764085.1_Bm14581-Illumina"
532,"Bacillus subtilis","B-1","SAMN03083512 ","PRJNA262507","GCA_000769515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/515/GCA_000769515.1_ASM76951v1"
533,"Bacillus velezensis","JS25R","SAMN03104819 ","PRJNA263650","GCA_000769555.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/555/GCA_000769555.1_ASM76955v1"
534,"Bacillus subtilis","ATCC 13952","SAMN03010508 ","PRJNA259687","GCA_000772125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/125/GCA_000772125.1_ASM77212v1"
535,"Bacillus subtilis","ATCC 19217","SAMN03010507 ","PRJNA259686","GCA_000772165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/165/GCA_000772165.1_ASM77216v1"
536,"Bacillus subtilis","Bs-916","SAMN03009557 ","PRJNA259307","GCA_000772205.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/205/GCA_000772205.1_ASM77220v1"
537,"Bacillus cereus","tsu1","SAMN02941309 ","PRJNA256220","GCA_000773635.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/635/GCA_000773635.1_ASM77363v1"
539,"Bacillus thuringiensis","XL6","SAMN02727381 ","PRJNA244583","GCA_000774075.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/774/075/GCA_000774075.2_ASM77407v2"
540,"Bacillus weihenstephanensis","WSBC 10204","SAMN03106993 ","PRJNA258373","GCA_000775975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/975/GCA_000775975.1_ASM77597v1"
541,"Bacillus subtilis","SG6","SAMN03145713 ","PRJNA265137","GCA_000782835.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/835/GCA_000782835.1_ASM78283v1"
542,"Bacillus anthracis","2000031006","SAMN03165110 ","PRJNA264742","GCA_000782875.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/875/GCA_000782875.1_ASM78287v1"
543,"Bacillus anthracis","2000031023","SAMN03165112 ","PRJNA264742","GCA_000782885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/885/GCA_000782885.1_ASM78288v1"
544,"Bacillus anthracis","2000031027","SAMN03165113 ","PRJNA264742","GCA_000782895.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/895/GCA_000782895.1_ASM78289v1"
545,"Bacillus anthracis","2000031038","SAMN03165115 ","PRJNA264742","GCA_000782905.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/905/GCA_000782905.1_ASM78290v1"
546,"Bacillus anthracis","2000031031","SAMN03165114 ","PRJNA264742","GCA_000782955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/955/GCA_000782955.1_ASM78295v1"
547,"Bacillus anthracis","2000031039","SAMN03165116 ","PRJNA264742","GCA_000782975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/975/GCA_000782975.1_ASM78297v1"
548,"Bacillus anthracis","2000031052","SAMN03165117 ","PRJNA264742","GCA_000782995.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/995/GCA_000782995.1_ASM78299v1"
549,"Bacillus anthracis","2000031075","SAMN03165118 ","PRJNA264742","GCA_000783015.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/015/GCA_000783015.1_ASM78301v1"
550,"Bacillus anthracis","2000031709","SAMN03165119 ","PRJNA264742","GCA_000783035.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/035/GCA_000783035.1_ASM78303v1"
